TICKER,NOME
AALR3,ALLIAR MEDICINA DIAGNÓSTICA
ABCB4,BANCO ABC BRASIL
ABEV3,AMBEV
ADHM3,ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA
AERI3,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S.A
AESB3,AES BRASIL ENERGIA S.A.
AFLT3,AFLUENTE
AGRO3,BRASILAGRO
AHEB3,SÃO PAULO TURISMO
AHEB5,SÃO PAULO TURISMO
AHEB6,SÃO PAULO TURISMO
ALPA3,ALPARGATAS
ALPA4,ALPARGATAS
ALPK3,ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A
ALSO3,ALIANSCSONAE
ALUP11,ALUPAR
ALUP3,ALUPAR
ALUP4,ALUPAR
AMAR3,LOJAS MARISA
AMBP3,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A
ANDG3B,ANDRADE GUTIERREZ CONCESSOES
ANDG4B,ANDRADE GUTIERREZ CONCESSOES
ANIM3,ANIMA
APER3,ALPER
APTI3,SIDERURGICA J. L. ALIPERTI
APTI4,SIDERURGICA J. L. ALIPERTI
ARZZ3,AREZZO&CO
ASAI3,SENDAS DISTRIBUIDORA S.A.
ATMP3,ATMA SA
ATOM3,ATOM EMPREENDIMENTOS
AURA33,AURA MINERALS INC.
AVLL3,ALPHAVILLE S.A.
AZEV3,AZEVEDO E TRAVASSOS
AZEV4,AZEVEDO E TRAVASSOS
AZUL4,AZUL
B3SA3,B3
BAHI3,BAHEMA
BALM3,BAUMER
BALM4,BAUMER
BAUH4,EXCELSIOR ALIMENTOS
BAZA3,BANCO AMAZONIA
BBAS3,BANCO BRASIL
BBDC3,BANCO BRADESCO
BBDC4,BANCO BRADESCO
BBML3,BBM LOGISTICA S.A.
BBRK3,BRASIL BROKERS
BBSE3,BB SEGURIDADE
BDLL3,BARDELLA
BDLL4,BARDELLA
BEEF3,MINERVA
BEES3,BANCO BANESTES
BEES4,BANCO BANESTES
BFRE11,BRAZILIAN FINANCE E REAL ESTATE
BFRE12,BRAZILIAN FINANCE E REAL ESTATE
BGIP3,BANCO BANESE
BGIP4,BANCO BANESE
BIDI11,BANCO INTER
BIDI3,BANCO INTER
BIDI4,BANCO INTER
BIOM3,BIOMM
BKBR3,BK BRASIL
BMEB3,BANCO MERCANTIL DO BRASIL
BMEB4,BANCO MERCANTIL DO BRASIL
BMGB4,BANCO BMG S.A.
BMIN3,BANCO MERCANTIL DE INVESTIMENTOS
BMIN4,BANCO MERCANTIL DE INVESTIMENTOS
BMKS3,BICICLETAS MONARK
BMOB3,BEMOBI MOBILE TECH S.A.
BNBR3,BANCO NORDESTE DO BRASIL
BOAS3,BOA VISTA SERVIÇOS S.A.
BOBR3,BOMBRIL
BOBR4,BOMBRIL
BPAC11,BANCO BTG PACTUAL
BPAC3,BANCO BTG PACTUAL
BPAC5,BANCO BTG PACTUAL
BPAN4,BANCO PAN
BPAR3,BANCO BANPARA
BPAT33,BANCO PATAGONIA
BPHA3,BRASIL PHARMA
BRAP3,BRADESPAR
BRAP4,BRADESPAR
BRDT3,PETROBRAS DISTRIBUIDORA
BRFS3,BRF
BRGE11,CONSÓRCIO ALFA DE ADMINISTRAÇÃO
BRGE12,CONSÓRCIO ALFA DE ADMINISTRAÇÃO
BRGE3,CONSÓRCIO ALFA DE ADMINISTRAÇÃO
BRGE5,CONSÓRCIO ALFA DE ADMINISTRAÇÃO
BRGE6,CONSÓRCIO ALFA DE ADMINISTRAÇÃO
BRGE7,CONSÓRCIO ALFA DE ADMINISTRAÇÃO
BRGE8,CONSÓRCIO ALFA DE ADMINISTRAÇÃO
BRIV3,BANCO ALFA DE INVESTIMENTO
BRIV4,BANCO ALFA DE INVESTIMENTO
BRKM3,BRASKEM
BRKM5,BRASKEM
BRKM6,BRASKEM
BRML3,BR MALLS
BRPR3,BR PROPERTIES
BRQB3,BRQ SOLUCOES EM INFORMATICA S.A.
BRSR3,BANCO BANRISUL
BRSR5,BANCO BANRISUL
BRSR6,BANCO BANRISUL
BSEV3,BIOSEV
BSLI3,BRB BCO DE BRASILIA S.A.
BSLI4,BRB BCO DE BRASILIA S.A.
BTOW3,B2W DIGITAL
BTTL3,BATTISTELLA
BTTL4,BATTISTELLA
CALI3,CONSTRUTORA ADOLPHO LINDENBERG
CALI4,CONSTRUTORA ADOLPHO LINDENBERG
CAMB3,CAMBUCI
CAMB4,CAMBUCI
CAML3,CAMIL
CARD3,CSU CARDSYSTEM
CASH3,MÉLIUZ S.A.
CASN3,CASAN
CASN4,CASAN
CATA3,CIA INDUSTRIAL CATAGUASES
CATA4,CIA INDUSTRIAL CATAGUASES
CBEE3,AMPLA ENERGIA E SERVICOS
CCPR3,CYRELA COMMERCIAL PROPERT
CCRO3,CCR
CCXC3,CCX
CEAB3,CEA MODAS
CEBR3,CEB
CEBR5,CEB
CEBR6,CEB
CEDO3,CEDRO TÊXTIL
CEDO4,CEDRO TÊXTIL
CEEB3,COELBA
CEEB5,COELBA
CEEB6,COELBA
CEED3,CEEE-D
CEED4,CEEE-D
CEGR3,CEG
CEPE3,CELPE
CEPE5,CELPE
CEPE6,CELPE
CESP3,CESP
CESP5,CESP
CESP6,CESP
CGAS3,COMGAS
CGAS5,COMGAS
CGRA3,GRAZZIOTIN
CGRA4,GRAZZIOTIN
CIEL3,CIELO
CLSC3,CELESC
CLSC4,CELESC
CMIG3,CEMIG
CMIG4,CEMIG
CMIN3,CSN MINERAÇÃO S.A.
CMSA3,CIMS S.A.
CMSA4,CIMS S.A.
CNSY3,CINESYSTEM S.A.
COCE3,COELCE
COCE5,COELCE
COCE6,COELCE
COGN3,COGNA ON
CORR3,CORREA RIBEIRO
CORR4,CORREA RIBEIRO
CPFE3,CPFL ENERGIA
CPLE3,COPEL
CPLE5,COPEL
CPLE6,COPEL
CPRE3,CPFL ENERGIAS RENOVÁVEIS
CRDE3,CR2
CREM3,CREMER
CRFB3,ATACADÃO
CRIV3,FINANCEIRA ALFA
CRIV4,FINANCEIRA ALFA
CRPG3,TRONOX PIGMENTOS DO BRASIL S.A.
CRPG5,TRONOX PIGMENTOS DO BRASIL S.A.
CRPG6,TRONOX PIGMENTOS DO BRASIL S.A.
CSAB3,CIA SEGUROS ALIANÇA DA BAHIA
CSAB4,CIA SEGUROS ALIANÇA DA BAHIA
CSAN3,COSAN
CSED3,CRUZEIRO DO SUL EDUCACIONAL S.A.
CSMG3,COPASA
CSNA3,CIA SIDERURGICA NACIONAL
CSRN3,COSERN
CSRN5,COSERN
CSRN6,COSERN
CTCA3,CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.
CTKA3,KARSTEN
CTKA4,KARSTEN
CTNM3,COTEMINAS
CTNM4,COTEMINAS
CTSA3,SANTANENSE
CTSA4,SANTANENSE
CTSA8,SANTANENSE
CURY3,CURY CONSTRUTORA E INCORPORADORA S.A.
CVCB3,CVC BRASIL
CYRE3,CYRELA
DASA3,DASA
DIRR3,DIRECIONAL ENGENHARIA
DMMO3,DOMMO ENERGIA
DMVF3,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.
DOHL3,DOHLER
DOHL4,DOHLER
DTCY3,DTCOM
DTCY4,DTCOM
DTEX3,DURATEX
EALT3,ELECTRO ACO ALTONA
EALT4,ELECTRO ACO ALTONA
ECOR3,ECORODOVIAS
ECPR3,ENCORPAR
ECPR4,ENCORPAR
EEEL3,CEEE-GT
EEEL4,CEEE-GT
EGIE3,ENGIE BRASIL
EKTR3,ELEKTRO
EKTR4,ELEKTRO
ELEK3,ELEKEIROZ
ELEK4,ELEKEIROZ
ELET3,ELETROBRAS
ELET5,ELETROBRAS
ELET6,ELETROBRAS
ELMD3,ELETROMIDIA S.A.
ELPL3,ELETROPAULO
EMAE3,EMAE - EMPRESA METROP.AGUAS ENERGIA
EMAE4,EMAE - EMPRESA METROP.AGUAS ENERGIA
EMBR3,EMBRAER
ENAT3,ENAUTA PARTICIPAÇÕES
ENBR3,EDP BRASIL
ENEV3,ENEVA
ENGI11,ENERGISA
ENGI3,ENERGISA
ENGI4,ENERGISA
ENJU3,ENJOEI.COM.BR ATIVIDADES DE INTERNET S.A.
ENMA3B,CEMAR
ENMA6B,CEMAR
ENMT3,ENERGISA MATO GROSSO
ENMT4,ENERGISA MATO GROSSO
EQPA3,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.
EQPA5,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.
EQPA6,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.
EQPA7,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.
EQTL3,EQUATORIAL ENERGIA
ESPA3,MPM CORPÓREOS S.A.
ESTR3,ESTRELA
ESTR4,ESTRELA
ETER3,ETERNIT
EUCA3,EUCATEX
EUCA4,EUCATEX
EVEN3,EVEN CONSTRUTORA E INCORPORADORA
EZTC3,EZ TEC
FBMC3,FIBAM
FBMC4,FIBAM
FESA3,FERBASA
FESA4,FERBASA
FHER3,FERTILIZANTES HERINGER
FIGE3,INVESTIMENTOS BEMGE
FIGE4,INVESTIMENTOS BEMGE
FLEX3,FLEX RELACIONAMENTOS INTELIGENTES
FLRY3,FLEURY
FNCN3,FINANSINOS S.A.- CREDITO FINANC E INVEST
FRAS3,FRAS-LE
FRIO3,METALFRIO SOLUTIONS
FRTA3,POMIFRUTAS
FTRT3B,FUTURETEL
GBIO33,BIOTOSCANA
GEPA3,RIO PARANAPANEMA
GEPA4,RIO PARANAPANEMA
GFSA3,GAFISA
GGBR3,GERDAU
GGBR4,GERDAU
GMAT3,GRUPO MATEUS S.A.
GNDI3,NOTRE DAME INTERMEDICA
GOAU3,METALURGICA GERDAU
GOAU4,METALURGICA GERDAU
GOLL4,GOL
GPAR3,CELGPAR
GPCP3,GPC PARTICIPAÇÕES
GPCP4,GPC PARTICIPAÇÕES
GPIV33,GP INVESTMENTS
GRND3,GRENDENE
GSHP3,GENERAL SHOPPING
GUAR3,GUARARAPES CONFECÇÕES
HAGA3,HAGA S/A
HAGA4,HAGA S/A
HAPV3,HAPVIDA
HBOR3,HELBOR
HBRE3,HBR REALTY EMPREENDIMENTOS IMOBILIARIOS
HBSA3,HIDROVIAS DO BRASIL S.A.
HBTS5,HABITASUL
HETA3,HERCULES
HETA4,HERCULES
HGTX3,CIA HERING
HOOT3,HOTEIS OTHON S.A.
HOOT4,HOTEIS OTHON S.A.
HYPE3,HYPERA
IDVL3,BANCO INDUSVAL
IDVL4,BANCO INDUSVAL
IGBR3,IGB ELETRÔNICA
IGSN3,IGUA SANEAMENTO S.A.
IGTA3,IGUATEMI EMPRESA DE SHOPPING CENTERS
INEP3,INEPAR
INEP4,INEPAR
INNT3,INTER CONSTRUTORA E INCORPORADORA S.A.
INTB3,INTELBRAS S.A. IND DE TELEC ELETRONICA BRASILEIRA
IRBR3,IRB BRASIL RESSEGUROS
ITEC3,ITAUTEC
ITSA3,ITAUSA
ITSA4,ITAUSA
ITUB3,BANCO ITAU UNIBANCO
ITUB4,BANCO ITAU UNIBANCO
JALL3,JALLES MACHADO S.A.
JBDU3,JB DUARTE
JBDU4,JB DUARTE
JBSS3,JBS
JFEN3,JOÃO FORTES ENGENHARIA
JHSF3,JHSF
JOPA3,JOSAPAR
JOPA4,JOSAPAR
JPSA3,JEREISSATI
JSLG3,JSL S.A.
KEPL3,KEPLER WEBER
KLBN11,KLABIN
KLBN3,KLABIN
KLBN4,KLABIN
LAME3,LOJAS AMERICANAS
LAME4,LOJAS AMERICANAS
LAVV3,LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.
LCAM3,LOCAMERICA
LEVE3,MAHLE-METAL LEVE
LHER3,LOJAS HERING
LHER4,LOJAS HERING
LIGT3,LIGHT
LINX3,LINX
LIPR3,ELETROPAR
LJQQ3,LOJAS QUERO-QUERO S/A
LLIS3,RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS
LOGG3,LOG COMMERCIAL PROPERTIES
LOGN3,LOG-IN LOGÍSTICA INTERMODAL
LPSB3,LOPES BRASIL
LREN3,LOJAS RENNER
LTEL3B,LITEL
LUPA3,LUPATECH
LUXM3,TREVISA
LUXM4,TREVISA
LWSA3,LOCAWEB SERVIÇOS DE INTERNET S.A.
MAPT3,CEMEPE
MAPT4,CEMEPE
MBLY3,MOBLY S.A.
MDIA3,M.DIAS BRANCO
MDNE3,MOURA DUBEUX ENGENHARIA S/A
MEAL3,INTERNATIONAL MEAL COMPANY
MELK3,MELNICK EVEN DESENVOLVIMENTO IMOBILIÁRIO S.A.
MERC3,MERCANTIL DO BRASIL FINANCEIRA
MERC4,MERCANTIL DO BRASIL FINANCEIRA
MGEL3,MANGELS INDUSTRIAL
MGEL4,MANGELS INDUSTRIAL
MGLU3,MAGAZINE LUIZA
MILS3,MILLS
MMAQ3,MINASMAQUINAS
MMAQ4,MINASMAQUINAS
MMXM3,MMX MINERACAO E METALICOS
MNDL3,MUNDIAL
MNPR3,MINUPAR
MOAR3,MONTEIRO ARANHA
MOSI3,MOSAICO TECNOLOGIA AO CONSUMIDOR S.A.
MOVI3,MOVIDA
MRFG3,MARFRIG
MRSA3B,MRS LOGÍSTICA
MRSA5B,MRS LOGÍSTICA
MRSA6B,MRS LOGÍSTICA
MRVE3,MRV ENGENHARIA E PARTICIPAÇÕES
MSPA3,MELHORAMENTOS
MSPA4,MELHORAMENTOS
