TICKER,var6m_3m,var3m_1d
AALR3,0,-1
ABCB4,2,1
ABEV3,1,1
ADHM3,-1,0
AFLT3,0,0
AGRO3,1,0
AHEB3,-1,0
AHEB5,-1,-1
AHEB6,-1,2
ALPA3,0,-1
ALPA4,0,-1
ALPK3,-1,-1
ALSO3,1,0
ALUP11,1,0
ALUP3,0,0
ALUP4,1,0
AMBP3,-1,0
ANIM3,2,-1
APER3,0,2
ARZZ3,2,1
ATMP3,-1,2
ATOM3,-1,2
AURA33,-1,1
AZEV3,2,-1
AZEV4,2,1
AZUL4,2,1
B3SA3,1,0
BAHI3,-1,-1
BALM3,2,-1
BALM4,0,-1
BAUH4,0,1
BAZA3,0,0
BBAS3,2,-1
BBDC3,2,0
BBDC4,2,1
BBRK3,1,-1
BBSE3,1,-1
BDLL3,0,-1
BDLL4,1,-1
BEEF3,-1,1
BEES3,0,0
BEES4,1,0
BGIP3,0,0
BGIP4,0,0
BIDI11,2,2
BIDI3,2,2
BIDI4,2,2
BIOM3,0,0
BKBR3,0,-1
BMEB3,-1,2
BMEB4,-1,2
BMGB4,1,0
BMIN3,1,1
BMIN4,0,2
BMKS3,0,1
BNBR3,0,0
BOBR4,1,2
BPAC11,2,1
BPAC3,1,0
BPAC5,2,1
BPAN4,1,2
BRAP3,2,0
BRAP4,2,0
BRDT3,1,1
BRFS3,1,2
BRGE11,-1,0
BRGE12,-1,1
BRGE3,0,0
BRGE5,-1,2
BRGE6,-1,-1
BRGE8,-1,1
BRIV3,0,1
BRIV4,1,0
BRKM3,1,2
BRKM5,0,2
BRKM6,0,1
BRML3,1,0
BRPR3,0,-1
BRSR3,1,0
BRSR5,-1,1
BRSR6,1,-1
BSEV3,1,2
BSLI3,2,2
BSLI4,2,2
BTOW3,-1,-1
BTTL3,0,-1
CALI4,-1,1
CAMB3,2,-1
CAML3,-1,0
CARD3,0,2
CASN3,-1,1
CBEE3,1,-1
CCPR3,0,-1
CCRO3,0,0
CEAB3,0,-1
CEBR3,2,2
CEBR5,2,1
CEBR6,2,2
CEDO3,2,-1
CEDO4,0,0
CEEB3,0,0
CEEB5,1,1
CEED3,0,-1
CEED4,-1,1
CEGR3,0,1
CEPE3,2,2
CEPE5,0,1
CEPE6,2,2
CESP3,-1,2
CESP5,2,1
CESP6,0,0
CGAS3,0,-1
CGAS5,-1,0
CGRA3,2,-1
CGRA4,2,-1
CIEL3,-1,1
CLSC3,1,1
CLSC4,0,2
CMIG3,2,0
CMIG4,2,-1
CNTO3,1,0
COCE3,0,-1
COCE5,-1,0
COGN3,-1,-1
CPFE3,1,0
CPLE3,1,1
CPLE5,-1,-1
CPLE6,1,0
CRDE3,2,-1
CRFB3,-1,1
CRIV3,-1,0
CRIV4,-1,1
CRPG3,2,2
CRPG5,2,2
CRPG6,2,2
CSAB3,1,0
CSAB4,0,1
CSAN3,1,2
CSMG3,1,0
CSNA3,2,2
CSRN3,-1,0
CSRN5,0,-1
CSRN6,0,0
CTKA3,2,1
CTKA4,2,-1
CTNM3,1,0
CTNM4,0,0
CTSA3,0,1
CTSA4,-1,0
CURY3,-1,-1
CVCB3,2,0
CYRE3,1,-1
DASA3,1,2
DIRR3,-1,1
DMMO3,1,-1
DMVF3,1,-1
DOHL3,0,2
DOHL4,1,1
DTCY3,0,2
DTEX3,-1,1
EALT3,0,2
EALT4,0,1
ECOR3,1,-1
ECPR3,-1,1
ECPR4,-1,1
EEEL3,2,1
EEEL4,2,1
EGIE3,1,0
EKTR3,2,2
EKTR4,1,1
ELET3,1,0
ELET5,1,2
ELET6,1,1
EMAE4,2,1
EMBR3,2,2
ENAT3,1,2
ENBR3,1,1
ENEV3,2,2
ENGI11,2,0
ENGI3,2,0
ENGI4,1,0
ENMT3,-1,2
ENMT4,0,2
EQPA3,1,2
EQPA5,-1,1
EQPA6,0,1
EQPA7,-1,1
EQTL3,0,0
ESTR4,-1,0
ETER3,2,2
EUCA3,0,0
EUCA4,0,1
EVEN3,0,-1
EZTC3,1,-1
FESA3,2,1
FESA4,0,2
FHER3,1,2
FLRY3,-1,0
FRAS3,2,2
FRIO3,-1,1
FRTA3,2,-1
GEPA3,0,-1
